system_prompt,user_prompt,post_tone,post_length,post_type,completion
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EduFuture Learning creates educational technology tools, such as e-learning platforms and virtual classrooms, to make learning more accessible and engaging. Their products are designed for students, teachers, and educational institutions. Since 2012, they have been a pioneer in integrating technology with education.
2. product: ChemLab Interactive Experiments: Interactive experiments for chemistry students.
3. post length: 4-6 sentences
4. post type: Value Proposition Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,4-6 sentences,Value Proposition Posts,"""Mixing molecules and magic! Introducing ChemLab Interactive Experiments, the ultimate game-changer for chemistry students! EduFuture Learning's latest innovation brings the lab to life, making complex concepts more accessible and fun. Say goodbye to dry textbooks and hello to hands-on experimentation! Get ready to ignite a passion for chemistry and unlock a world of possibilities with ChemLab Interactive Experiments #ChemLab #EduFuture #InteractiveLearning"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: PureBass High-Fidelity Speakers: Speakers with high-fidelity sound quality.
3. post length: 4-6 sentences
4. post type: Educational Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,4-6 sentences,Educational Posts,"""Get ready to level up your sound game! At PureSound Audio, we're obsessed with delivering pure, unadulterated audio bliss. That's why we created the PureBass High-Fidelity Speakers - because we know that when it comes to sound, there's no room for compromise. With PureBass, you'll experience the kind of crystal-clear clarity that'll make you wonder how you ever settled for anything less. Upgrade your audio experience today and discover a whole new world of sound!"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EduFuture Learning creates educational technology tools, such as e-learning platforms and virtual classrooms, to make learning more accessible and engaging. Their products are designed for students, teachers, and educational institutions. Since 2012, they have been a pioneer in integrating technology with education.
2. product: LangLearn Language App: Language learning app with interactive lessons.
3. post length: 4-6 sentences
4. post type: Testimonial Posts
5. post tone: Trustworthy

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Trustworthy,4-6 sentences,Testimonial Posts,"""I've been using LangLearn Language App with my students for a few weeks now, and the results are astonishing! The interactive lessons have increased their engagement and confidence in speaking. As a teacher, I appreciate how easy it is to track their progress and adjust the curriculum accordingly. LangLearn has genuinely improved our language learning experience. EduFuture Learning's commitment to innovative education is truly remarkable!"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FashionForward offers trendy, high-quality clothing and accessories for fashion-conscious individuals. Their products range from dresses and jeans to handbags and footwear, combining style with durability. Founded in 2014, they have become a leading name in the global fashion industry.
2. product: BusinessPro Suits: Professional suits for business settings.
3. post length: 7+ sentences
4. post type: Storytelling Posts
5. post tone: Professional

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Professional,7+ sentences,Storytelling Posts,"""As the world of business evolves, so must your wardrobe. That's why FashionForward is proud to introduce BusinessPro Suits, designed to help you make a lasting impression in any professional setting.

Our team of expert designers has crafted each suit to exude confidence and sophistication, combining premium materials with a keen eye for detail. From crisp white shirts to tailored trousers, every element is carefully considered to ensure you look and feel your best.

But it's not just about looking good - BusinessPro Suits are built to last, with durable fabrics and expert construction that will withstand the demands of a fast-paced career. Whether you're closing a deal or networking with industry leaders, our suits will help you present yourself with poise and professionalism.

At FashionForward, we understand that dressing for success is just the beginning. That's why we're committed to empowering our customers to take control of their careers and make a lasting impact. With BusinessPro Suits, you'll be equipped to tackle any challenge that comes your way.

Join the ranks of fashion-conscious professionals who demand the best. Try BusinessPro Suits today and discover a new level of confidence and style."""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: HiRes Audio Player: High-resolution audio player.
3. post length: 7+ sentences
4. post type: Interactive Posts
5. post tone: Trustworthy

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Trustworthy,7+ sentences,Interactive Posts,"""Unlock the full potential of your music with PureSound Audio's HiRes Audio Player!

As audiophiles, we know that music is more than just a collection of sounds - it's an emotional experience that requires precision and attention to detail. That's why we've designed the HiRes Audio Player to deliver the purest, most immersive sound possible.

With its advanced digital-to-analog converter and proprietary noise-reduction technology, this player is capable of reproducing even the most subtle nuances in your music. Whether you're a music producer, DJ, or simply a music lover, you'll be amazed by the clarity and depth of sound.

But don't just take our word for it! Try the HiRes Audio Player for yourself and experience the difference that high-resolution audio can make.

Leave a comment below and let us know what you think of the HiRes Audio Player! Have you tried high-resolution audio before? What do you think sets it apart from standard audio?

Share your thoughts and tag a friend who loves great music! #PureSoundAudio #HiResAudio #HighQualitySound #MusicLover #Audiophile"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureBeauty Cosmetics offers natural and eco-friendly beauty products, including skincare, makeup, and hair care. They emphasize using sustainable ingredients to enhance natural beauty. Founded in 2015, the company is dedicated to promoting sustainability in the beauty industry.
2. product: SoothingAloe Gel: Aloe gel for soothing skin.
3. post length: 7+ sentences
4. post type: Storytelling Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,7+ sentences,Storytelling Posts,"""Ah, the eternal quest for glowing, radiant skin! You know the drill: endless scrolling through beauty blogs, trying out products, and still, your skin remains a mystery. But, what if I told you there's a secret to unlocking your skin's true potential? Introducing SoothingAloe Gel from PureBeauty Cosmetics! This magic potion is made with 100% natural aloe vera, carefully sourced to soothe even the most sensitive skin. No harsh chemicals, no artificial fragrances, just pure, unadulterated goodness. And the best part? It's cruelty-free, vegan-friendly, and eco-conscious! Treat your skin to a little TLC and join the PureBeauty movement. Get ready to glow, inside and out! #PureBeauty #SoothingAloeGel #NaturalBeauty #EcoFriendly #GlowUp"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: HealthPro Pharmaceuticals develops and sells a wide range of pharmaceutical products, including prescription drugs, over-the-counter medications, and vaccines. They are committed to improving health and well-being through rigorous research and development. Established in 1980, they are recognized for their long-standing reputation in the industry.
2. product: DiabeCare Insulin Pump: Insulin pump for diabetes management.
3. post length: 7+ sentences
4. post type: Storytelling Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,7+ sentences,Storytelling Posts,"""Meet Maria, a 35-year-old mom who's been living with type 1 diabetes since childhood. For years, she struggled with the constant worry of managing her condition, from remembering to take medication to dealing with the emotional toll of living with a chronic illness. But everything changed when she discovered DiabeCare Insulin Pump, a revolutionary device that's changed the game for diabetes management. With its advanced technology and user-friendly design, Maria can now take control of her health like never before. No more worrying about needles or medication schedules - just a life free from the constraints of diabetes. Thanks to DiabeCare Insulin Pump, Maria can focus on what truly matters: her family, her friends, and her passions. Join the thousands of people who've already experienced the freedom and confidence that comes with using DiabeCare Insulin Pump. Learn more about this life-changing technology and start your journey to a healthier, happier you!"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: Gourmet Delights offers high-quality, gourmet food products such as artisanal cheeses, chocolates, and specialty oils. Their focus is on delivering exceptional taste and quality for food enthusiasts and gourmet chefs. Established in 2015, they have quickly gained a reputation for excellence in the food industry.
2. product: Mediterranean Sea Salt: Sea salt from the Mediterranean.
3. post length: 7+ sentences
4. post type: Storytelling Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,7+ sentences,Storytelling Posts,"""Escape to the Mediterranean...

Imagine yourself standing on the sun-kissed shores of Greece, the warm breeze carrying the sweet scent of blooming olives. The sound of gentle waves crashing against the rocks, as the warm Mediterranean sun sets behind you. It's a moment of pure serenity, where the stresses of everyday life melt away.

And now, bring that moment to your table with Gourmet Delights' Mediterranean Sea Salt! Harvested from the crystal-clear waters of the Mediterranean, this artisanal sea salt is infused with the subtle nuances of the region's rich history. With its delicate flavor and coarse texture, it's the perfect addition to your culinary creations.

Whether you're a food enthusiast or a gourmet chef, Gourmet Delights' Mediterranean Sea Salt is sure to transport your taste buds to the Mediterranean coast. Try it today and discover a world of flavor and inspiration! #GourmetDelights #MediterraneanSeaSalt #Foodie #GourmetChefs #ArtisanalFood #FlavorInspiration"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FashionForward offers trendy, high-quality clothing and accessories for fashion-conscious individuals. Their products range from dresses and jeans to handbags and footwear, combining style with durability. Founded in 2014, they have become a leading name in the global fashion industry.
2. product: ClassicFit Blazers: Classic blazers for professional wear.
3. post length: 1-3 sentences
4. post type: Promotional Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Promotional Posts,"""Level up your office attire with our ClassicFit Blazers! Because, let's face it, a good blazer can make even the most mundane Monday look like a million bucks #FashionForward #ClassicFit #ProfessionalChic"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: RunFast Running Shoes: Running shoes designed for speed and comfort.
3. post length: 1-3 sentences
4. post type: Promotional Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Promotional Posts,"""Get ready to crush your fitness goals with our new RunFast Running Shoes! Say goodbye to slow runs and hello to speed and comfort with our cutting-edge technology and trendy designs. Trust us, your feet (and your PBs) will thank you #FitLifeApparel #RunFast #FitnessMotivation"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: PureTone Earbuds: Earbuds with pure sound quality.
3. post length: 1-3 sentences
4. post type: Promotional Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Promotional Posts,"""Unleash the power of pure sound! Introducing PureTone Earbuds, the latest innovation from PureSound Audio. Experience the thrill of crystal-clear audio that transports you to a world of sonic bliss. Get ready to elevate your music, podcasts, and conversations to new heights! #PureSoundAudio #PureToneEarbuds #SoundRevolution"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EcoTech Solutions provides eco-friendly technology products aimed at helping businesses and governments reduce their carbon footprint. Their offerings include solar panels, water filtration systems, and sustainable building materials. Founded in 2005, they are known for leading innovation in environmental technology.
2. product: EcoSmart Thermostats: Smart thermostats that optimize energy usage.
3. post length: 1-3 sentences
4. post type: Promotional Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Promotional Posts,"""Join the eco-revolution with EcoTech Solutions! Introducing EcoSmart Thermostats, the smart way to optimize your energy usage and reduce your carbon footprint. Upgrade your home or office today and be part of a sustainable future! #EcoTechSolutions #EcoSmartThermostats #Sustainability"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: AdventureGear Co. sells durable and innovative outdoor gear, including hiking boots, camping tents, and climbing equipment. Their products are designed for adventure enthusiasts who need reliable gear for tough conditions. Founded in 2010, they are known for their rugged and high-quality outdoor equipment.
2. product: SolarCharge Portable Panel: Portable solar panel for charging devices.
3. post length: 1-3 sentences
4. post type: Promotional Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Promotional Posts,"""Gear up for the ultimate adventure! Introducing the SolarCharge Portable Panel, the ultimate power-up for your outdoor escapades! Charge your devices on-the-go with this rugged, reliable, and ridiculously awesome portable solar panel #AdventureGearCo #SolarCharge #OutdoorAdventures"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FashionForward offers trendy, high-quality clothing and accessories for fashion-conscious individuals. Their products range from dresses and jeans to handbags and footwear, combining style with durability. Founded in 2014, they have become a leading name in the global fashion industry.
2. product: ClassicFit Blazers: Classic blazers for professional wear.
3. post length: 1-3 sentences
4. post type: Question Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Question Posts,"""Blazer up, boss! Are you tired of dressing down for work? Our ClassicFit Blazers are here to help you level up your professional game, without sacrificing style. Get ready to turn heads! #FashionForward #ClassicFit #BlazerUp"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: RunFast Running Shoes: Running shoes designed for speed and comfort.
3. post length: 1-3 sentences
4. post type: Question Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Question Posts,"""Are you tired of sacrificing style for speed? Introducing RunFast Running Shoes from FitLife Apparel - the perfect blend of comfort and performance! #FitLifeApparel #RunFast #RunningShoes #Fitness"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: PureTone Earbuds: Earbuds with pure sound quality.
3. post length: 1-3 sentences
4. post type: Question Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Question Posts,"""What's the secret to unlocking your full creative potential? Is it the right tools? Introducing PureTone Earbuds from PureSound Audio, engineered to deliver pure sound quality that ignites your passion and fuels your creativity. #PureSound #PureTone #SoundQualityMatters"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EcoTech Solutions provides eco-friendly technology products aimed at helping businesses and governments reduce their carbon footprint. Their offerings include solar panels, water filtration systems, and sustainable building materials. Founded in 2005, they are known for leading innovation in environmental technology.
2. product: EcoSmart Thermostats: Smart thermostats that optimize energy usage.
3. post length: 1-3 sentences
4. post type: Question Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Question Posts,"""Are you ready to revolutionize the way you think about energy consumption? Our EcoSmart Thermostats, powered by EcoTech Solutions, are changing the game with smart temperature control that optimizes energy usage and reduces your carbon footprint. Join the movement towards a more sustainable future!"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: AdventureGear Co. sells durable and innovative outdoor gear, including hiking boots, camping tents, and climbing equipment. Their products are designed for adventure enthusiasts who need reliable gear for tough conditions. Founded in 2010, they are known for their rugged and high-quality outdoor equipment.
2. product: SolarCharge Portable Panel: Portable solar panel for charging devices.
3. post length: 1-3 sentences
4. post type: Question Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Question Posts,"""Ready to ditch the dead batteries and join the #SolarRevolution? Can you guess the most epic way to keep your devices charged on the go? Introducing the SolarCharge Portable Panel from AdventureGear Co. - the ultimate companion for your next adventure! #AdventureGear #SolarPower #GoOffGrid"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FashionForward offers trendy, high-quality clothing and accessories for fashion-conscious individuals. Their products range from dresses and jeans to handbags and footwear, combining style with durability. Founded in 2014, they have become a leading name in the global fashion industry.
2. product: ClassicFit Blazers: Classic blazers for professional wear.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Feature Highlight Posts,"""Blazer up, fashionistas! Introducing our ClassicFit Blazers - the ultimate power move for your professional wardrobe. Durable, stylish, and ready to elevate your workwear game, get ready to turn heads with FashionForward's latest must-have!"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: RunFast Running Shoes: Running shoes designed for speed and comfort.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Feature Highlight Posts,"""Kicking it up a notch with our RunFast Running Shoes! Say goodbye to sluggish strides and hello to speed and comfort with our latest innovation from FitLife Apparel. Get ready to crush your next 5K (or couch-to-couch sprint) in style #FitLifeApparel #RunFast #FitnessMotivation"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: PureTone Earbuds: Earbuds with pure sound quality.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Feature Highlight Posts,"""Unlock the full potential of your music with PureSound Audio's PureTone Earbuds! With crystal-clear sound and sleek design, these earbuds will transport you to a world of sonic bliss. Experience the purest sound on the planet with PureTone Earbuds #PureSoundAudio #PureToneEarbuds #SoundQualityMatters"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EcoTech Solutions provides eco-friendly technology products aimed at helping businesses and governments reduce their carbon footprint. Their offerings include solar panels, water filtration systems, and sustainable building materials. Founded in 2005, they are known for leading innovation in environmental technology.
2. product: EcoSmart Thermostats: Smart thermostats that optimize energy usage.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Feature Highlight Posts,"""Unlock a greener future with EcoSmart Thermostats from EcoTech Solutions! These intelligent thermostats optimize energy usage, reducing your carbon footprint and saving you money. Join the eco-revolution and experience the power of innovation! #EcoTechSolutions #EcoSmartThermostats #SustainableLiving"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: AdventureGear Co. sells durable and innovative outdoor gear, including hiking boots, camping tents, and climbing equipment. Their products are designed for adventure enthusiasts who need reliable gear for tough conditions. Founded in 2010, they are known for their rugged and high-quality outdoor equipment.
2. product: SolarCharge Portable Panel: Portable solar panel for charging devices.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Feature Highlight Posts,"""Gear up for your next adventure with SolarCharge! This portable solar panel is the perfect companion for any outdoor escapade, charging your devices on-the-go. And the best part? It's as tough as you are #AdventureGearCo #SolarCharge #PortablePower"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FashionForward offers trendy, high-quality clothing and accessories for fashion-conscious individuals. Their products range from dresses and jeans to handbags and footwear, combining style with durability. Founded in 2014, they have become a leading name in the global fashion industry.
2. product: ClassicFit Blazers: Classic blazers for professional wear.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Comparison Posts,"""Blazer up, folks! Are you tired of looking like a try-hard in those bland, generic blazers? ClassicFit Blazers from FashionForward are here to save the day (and your wardrobe) - durable, stylish, and guaranteed to make you stand out from the crowd. #ClassicFitBlazers #FashionForward #ProfessionalPerfection"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: RunFast Running Shoes: Running shoes designed for speed and comfort.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Comparison Posts,"""Speed demons, assemble! Are you tired of sacrificing style for speed in your running shoes? Our RunFast Running Shoes are the game-changer you've been waiting for - designed for speed and comfort, so you can crush your goals in style! #FitLifeApparel #RunFast #RunningShoes #FitnessFashion"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: PureTone Earbuds: Earbuds with pure sound quality.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Comparison Posts,"""Upgrade your sound game with PureSound Audio's PureTone Earbuds! Compare them to the competition and discover why audiophiles rave about their pure, unadulterated sound quality. Elevate your music experience with PureSound Audio - the choice of professionals and music lovers alike!"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EcoTech Solutions provides eco-friendly technology products aimed at helping businesses and governments reduce their carbon footprint. Their offerings include solar panels, water filtration systems, and sustainable building materials. Founded in 2005, they are known for leading innovation in environmental technology.
2. product: EcoSmart Thermostats: Smart thermostats that optimize energy usage.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Comparison Posts,"""Upgrade your temperature control and upgrade the planet! Compare EcoSmart Thermostats from EcoTech Solutions to traditional thermostats and discover how you can save energy, reduce waste, and contribute to a sustainable future. #EcoTechSolutions #EcoSmartThermostats #SustainableLiving"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: AdventureGear Co. sells durable and innovative outdoor gear, including hiking boots, camping tents, and climbing equipment. Their products are designed for adventure enthusiasts who need reliable gear for tough conditions. Founded in 2010, they are known for their rugged and high-quality outdoor equipment.
2. product: SolarCharge Portable Panel: Portable solar panel for charging devices.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Comparison Posts,"""Gear up for adventure with AdventureGear Co.! Compare our SolarCharge Portable Panel to those flimsy, low-voltage panels on the market. Our rugged, high-quality panel charges your devices faster and lasts longer in the wild - no need to sacrifice power for portability!"" #AdventureGear #SolarCharge #PortablePower"
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FashionForward offers trendy, high-quality clothing and accessories for fashion-conscious individuals. Their products range from dresses and jeans to handbags and footwear, combining style with durability. Founded in 2014, they have become a leading name in the global fashion industry.
2. product: ClassicFit Blazers: Classic blazers for professional wear.
3. post length: 1-3 sentences
4. post type: Announcement Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Announcement Posts,"""Get ready to level up your workwear game! Introducing our new ClassicFit Blazers - the perfect blend of style and sophistication. From boardroom to brunch, these blazers are sure to make you the best-dressed person in the room #FashionForward #ClassicFit #ProfessionalPerfection"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: RunFast Running Shoes: Running shoes designed for speed and comfort.
3. post length: 1-3 sentences
4. post type: Announcement Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Announcement Posts,"""Get ready to crush your fitness goals with our latest drop! Introducing RunFast Running Shoes - the ultimate combo of speed and comfort. Say goodbye to slow and hello to fast with FitLife Apparel's latest innovation! #RunFast #FitLifeApparel #NewArrivals"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: PureTone Earbuds: Earbuds with pure sound quality.
3. post length: 1-3 sentences
4. post type: Announcement Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Announcement Posts,"""Introducing PureTone Earbuds from PureSound Audio! Experience the purest sound quality that ignites your passion for music and elevates your audio experience. Join the revolution of sound with us! #PureSoundAudio #PureToneEarbuds #SoundRevolution"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EcoTech Solutions provides eco-friendly technology products aimed at helping businesses and governments reduce their carbon footprint. Their offerings include solar panels, water filtration systems, and sustainable building materials. Founded in 2005, they are known for leading innovation in environmental technology.
2. product: EcoSmart Thermostats: Smart thermostats that optimize energy usage.
3. post length: 1-3 sentences
4. post type: Announcement Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Announcement Posts,"""Introducing EcoSmart Thermostats from EcoTech Solutions! Revolutionize your energy management with our cutting-edge, eco-friendly smart thermostats. Reduce your carbon footprint and save on energy costs - a brighter future starts here!"""
